file,split,angle
420.png,val,118.9902
421.png,val,331.6902
422.png,val,142.9902
423.png,val,44.6902
424.png,val,287.5902
425.png,val,260.8487
426.png,val,116.1491
427.png,val,328.6312
428.png,val,139.9376
429.png,val,40.8946
430.png,val,284.6576
431.png,train,238.8
432.png,train,106.8
433.png,train,3.2
434.png,train,270.0
435.png,train,1.6
436.png,train,116.6
437.png,train,237.2495
438.png,train,107.168
439.png,train,4.1853
440.png,train,268.8775
441.png,train,2.432
442.png,train,116.8291
443.png,val,238.8
444.png,val,106.8
445.png,val,3.2
446.png,val,270.0
447.png,val,1.6
448.png,val,116.6
449.png,train,265.5218
450.png,train,133.5218
451.png,train,29.9218
452.png,train,296.7218
453.png,train,28.3218
454.png,train,143.3218
455.png,train,228.1851
456.png,train,96.1851
457.png,train,352.5851
458.png,train,259.3851
459.png,train,350.9851
460.png,train,105.9851
461.png,train,357.0904
462.png,train,103.3929
463.png,train,232.4123
464.png,train,133.2627
465.png,train,23.5109
466.png,train,252.6209
467.png,train,25.5736
468.png,train,134.8736
469.png,train,260.0736
470.png,train,165.6736
471.png,train,50.8736
472.png,train,282.4736
473.png,train,358.3
474.png,train,107.6
475.png,train,232.8
476.png,train,138.4
477.png,train,23.6
478.png,train,255.2
479.png,train,358.0704
480.png,train,107.852
481.png,train,234.2523
482.png,train,137.8206
483.png,train,24.1716
484.png,train,255.9211
485.png,train,16.0399
486.png,train,125.3117
487.png,train,249.5919
488.png,train,156.1433
489.png,train,40.7266
490.png,train,272.2664
491.png,val,318.2448
492.png,val,75.2404
493.png,val,209.6701
494.png,val,180.3627
495.png,val,348.6947
496.png,val,225.3849
497.png,train,336.4788
498.png,train,92.9289
499.png,train,227.7942
500.png,train,198.8893
501.png,train,7.1524
502.png,train,242.962
503.png,train,308.4497
504.png,train,66.3347
505.png,train,201.5738
506.png,train,171.7787
507.png,train,339.6792
508.png,train,216.9234
509.png,val,317.4
510.png,val,75.2
511.png,val,209.7
512.png,val,180.0
513.png,val,348.1
514.png,val,225.4
515.png,val,317.4
516.png,val,75.2
517.png,val,209.7
518.png,val,180.0
519.png,val,348.1
520.png,val,225.4
521.png,train,229.8682
522.png,train,198.2271
523.png,train,304.0795
524.png,train,109.6121
525.png,train,295.7836
526.png,train,182.2358
527.png,train,229.4
528.png,train,199.0
529.png,train,303.7
530.png,train,108.7
531.png,train,295.1
532.png,train,183.4
533.png,train,217.7278
534.png,train,187.3278
535.png,train,292.0278
536.png,train,97.0278
537.png,train,283.4278
538.png,train,171.7278
539.png,train,232.568
540.png,train,202.168
541.png,train,306.868
542.png,train,111.868
543.png,train,298.268
544.png,train,186.568
545.png,train,208.6437
546.png,train,178.8735
547.png,train,283.0242
548.png,train,88.1412
549.png,train,275.0047
550.png,train,163.4207
551.png,train,323.2954
552.png,train,84.458
553.png,train,186.2425
554.png,train,161.75
555.png,train,273.1693
556.png,train,161.455
557.png,train,323.8
558.png,train,85.1
559.png,train,186.9
560.png,train,162.1
561.png,train,273.7
562.png,train,162.1
563.png,train,323.8
564.png,train,85.1
565.png,train,186.9
566.png,train,162.1
567.png,train,273.7
568.png,train,162.1
569.png,train,323.8
570.png,train,85.1
571.png,train,186.9
572.png,train,162.1
573.png,train,273.7
574.png,train,162.1
575.png,val,322.8083
576.png,val,81.0151
577.png,val,189.0888
578.png,val,163.6872
579.png,val,269.3961
580.png,val,162.8737
581.png,train,323.8
582.png,train,64.8
583.png,train,216.2
584.png,train,190.0
585.png,train,249.4
586.png,train,110.8
587.png,train,323.7777
588.png,train,61.0101
589.png,train,213.368
590.png,train,189.075
591.png,train,246.0878
592.png,train,109.0945
593.png,train,325.4818
594.png,train,64.036
595.png,train,216.2588
596.png,train,191.4535
597.png,train,249.1455
598.png,train,111.0887
599.png,train,344.1082
600.png,train,85.1082
601.png,train,236.5082
602.png,train,210.3082
603.png,train,269.7082
604.png,train,131.1082
605.png,train,341.6043
606.png,train,82.6043
607.png,train,234.0043
608.png,train,207.8043
609.png,train,267.2043
610.png,train,128.6043
611.png,train,277.608
612.png,train,32.048
613.png,train,233.6635
614.png,train,150.8654
615.png,train,229.4191
616.png,train,91.361
617.png,train,292.9067
618.png,train,50.1067
619.png,train,250.5067
620.png,train,168.5067
621.png,train,246.3067
622.png,train,106.3067
623.png,train,277.2367
624.png,train,34.4367
625.png,train,234.8367
626.png,train,152.8367
627.png,train,230.6367
628.png,train,90.6367
629.png,val,276.0
630.png,val,33.2
631.png,val,233.6
632.png,val,151.6
633.png,val,229.4
634.png,val,89.4
635.png,train,276.0
636.png,train,33.2
637.png,train,233.6
638.png,train,151.6
639.png,train,229.4
640.png,train,89.4
641.png,train,252.6966
642.png,train,5.9966
643.png,train,203.5966
644.png,train,127.6966
645.png,train,201.7966
646.png,train,76.0966
647.png,val,243.0095
648.png,val,359.8234
649.png,val,196.1037
650.png,val,120.8872
651.png,val,194.5012
652.png,val,66.1322
653.png,train,241.4505
654.png,train,354.774
655.png,train,192.1039
656.png,train,117.0171
657.png,train,190.5483
658.png,train,65.2966
659.png,train,246.5843
660.png,train,359.8843
661.png,train,197.4843
662.png,train,121.5843
663.png,train,195.6843
664.png,train,69.9843
665.png,train,247.3
666.png,train,0.6
667.png,train,198.2
668.png,train,122.3
669.png,train,196.4
670.png,train,70.7
671.png,train,217.5491
672.png,train,341.6491
673.png,train,176.2491
674.png,train,87.7491
675.png,train,154.4491
676.png,train,51.1491
677.png,train,217.6417
678.png,train,341.7417
679.png,train,176.3417
680.png,train,87.8417
681.png,train,154.5417
682.png,train,51.2417
683.png,train,226.3
684.png,train,350.4
685.png,train,185.0
686.png,train,96.5
687.png,train,163.2
688.png,train,59.9
689.png,train,226.8827
690.png,train,350.787
691.png,train,185.6384
692.png,train,96.8136
693.png,train,163.567
694.png,train,60.4271
695.png,val,218.8818
696.png,val,342.9818
697.png,val,177.5818
698.png,val,89.0818
699.png,val,155.7818
700.png,val,52.4818
701.png,train,130.7431
702.png,train,291.8617
703.png,train,196.1348
704.png,train,33.49
705.png,train,99.2063
706.png,train,93.3136
707.png,train,160.1
708.png,train,320.8
709.png,train,225.5
710.png,train,62.5
711.png,train,127.8
712.png,train,121.8
713.png,train,190.0466
714.png,train,350.7466
715.png,train,255.4466
716.png,train,92.4466
717.png,train,157.7466
718.png,train,151.7466
719.png,train,148.0107
720.png,train,308.7107
721.png,train,213.4107
722.png,train,50.4107
723.png,train,115.7107
724.png,train,109.7107
725.png,train,160.1
726.png,train,320.8
727.png,train,225.5
728.png,train,62.5
729.png,train,127.8
730.png,train,121.8
731.png,train,321.8
732.png,train,129.0
733.png,train,94.8
734.png,train,90.0
735.png,train,17.5
736.png,train,246.2
737.png,train,324.7369
738.png,train,131.7161
739.png,train,94.7056
740.png,train,89.4415
741.png,train,17.1486
742.png,train,244.1538
743.png,val,308.4025
744.png,val,115.6025
745.png,val,81.4025
746.png,val,76.6025
747.png,val,4.1025
748.png,val,232.8025
749.png,train,298.9726
750.png,train,106.1726
751.png,train,71.9726
752.png,train,67.1726
753.png,train,354.6726
754.png,train,223.3726
755.png,train,322.3711
756.png,train,129.7084
757.png,train,95.3195
758.png,train,90.4324
759.png,train,16.9833
760.png,train,246.0897
761.png,train,94.2842
762.png,train,312.9842
763.png,train,274.4842
764.png,train,330.0842
765.png,train,75.5842
766.png,train,59.3842
767.png,train,103.9
768.png,train,322.6
769.png,train,284.1
770.png,train,339.7
771.png,train,85.2
772.png,train,69.0
773.png,val,103.9
774.png,val,322.6
775.png,val,284.1
776.png,val,339.7
777.png,val,85.2
778.png,val,69.0
779.png,train,119.5359
780.png,train,338.2359
781.png,train,299.7359
782.png,train,355.3359
783.png,train,100.8359
784.png,train,84.6359
785.png,train,103.9
786.png,train,322.6
787.png,train,284.1
788.png,train,339.7
789.png,train,85.2
790.png,train,69.0
791.png,train,89.6779
792.png,train,47.0115
793.png,train,35.3575
794.png,train,297.1611
795.png,train,262.5428
796.png,train,311.9999
797.png,train,109.5836
798.png,train,66.9691
799.png,train,55.8567
800.png,train,319.2493
801.png,train,283.0895
802.png,train,335.381
803.png,train,112.5
804.png,train,69.6
805.png,train,58.0
806.png,train,320.4
807.png,train,285.4
808.png,train,335.4
809.png,train,86.867
810.png,train,43.967
811.png,train,32.367
812.png,train,294.767
813.png,train,259.767
814.png,train,309.767
815.png,train,95.3733
816.png,train,52.4733
817.png,train,40.8733
818.png,train,303.2733
819.png,train,268.2733
820.png,train,318.2733
821.png,val,87.4
822.png,val,324.8
823.png,val,259.5
824.png,val,292.8
825.png,val,57.9
826.png,val,70.3
827.png,train,65.2537
828.png,train,302.6537
829.png,train,237.3537
830.png,train,270.6537
831.png,train,35.7537
832.png,train,48.1537
833.png,train,87.4
834.png,train,324.8
835.png,train,259.5
836.png,train,292.8
837.png,train,57.9
838.png,train,70.3
839.png,val,107.1821
840.png,val,348.6368
841.png,val,278.7854
842.png,val,314.1721
843.png,val,76.9356
844.png,val,89.1997
845.png,train,87.4
846.png,train,324.8
847.png,train,259.5
848.png,train,292.8
849.png,train,57.9
850.png,train,70.3
851.png,train,86.7
852.png,train,310.7
853.png,train,246.2
854.png,train,261.8
855.png,train,58.1
856.png,train,26.7
857.png,train,114.1203
858.png,train,338.1203
859.png,train,273.6203
860.png,train,289.2203
861.png,train,85.5203
862.png,train,54.1203
863.png,train,86.7
864.png,train,310.7
865.png,train,246.2
866.png,train,261.8
867.png,train,58.1
868.png,train,26.7
869.png,train,98.8461
870.png,train,322.8461
871.png,train,258.3461
872.png,train,273.9461
873.png,train,70.2461
874.png,train,38.8461
875.png,train,86.7
876.png,train,310.7
877.png,train,246.2
878.png,train,261.8
879.png,train,58.1
880.png,train,26.7
881.png,train,57.3831
882.png,train,282.5831
883.png,train,217.3831
884.png,train,277.7831
885.png,train,358.8831
886.png,train,356.9831
887.png,train,84.2
888.png,train,309.4
889.png,train,244.2
890.png,train,304.6
891.png,train,25.7
892.png,train,23.8
893.png,train,105.884
894.png,train,331.084
895.png,train,265.884
896.png,train,326.284
897.png,train,47.384
898.png,train,45.484
899.png,train,84.2
900.png,train,309.4
901.png,train,244.2
902.png,train,304.6
903.png,train,25.7
904.png,train,23.8
905.png,train,84.2
906.png,train,309.4
907.png,train,244.2
908.png,train,304.6
909.png,train,25.7
910.png,train,23.8
911.png,train,95.3163
912.png,train,319.7163
913.png,train,245.0163
914.png,train,351.4163
915.png,train,32.8163
916.png,train,35.3163
917.png,train,79.9953
918.png,train,305.3948
919.png,train,230.2021
920.png,train,338.3077
921.png,train,19.4164
922.png,train,21.7556
923.png,train,89.4336
924.png,train,312.6671
925.png,train,240.9955
926.png,train,345.769
927.png,train,29.2382
928.png,train,31.833
929.png,train,60.5592
930.png,train,286.6501
931.png,train,208.6527
932.png,train,317.4289
933.png,train,356.4792
934.png,train,359.0159
935.png,train,85.4686
936.png,train,309.8686
937.png,train,235.1686
938.png,train,341.5686
939.png,train,22.9686
940.png,train,25.4686
941.png,train,83.8
942.png,train,275.0
943.png,train,271.6
944.png,train,300.8
945.png,train,349.8
946.png,train,0.0
947.png,train,76.4414
948.png,train,267.6414
949.png,train,264.2414
950.png,train,293.4414
951.png,train,342.4414
952.png,train,352.6414
953.png,train,83.8
954.png,train,275.0
955.png,train,271.6
956.png,train,300.8
957.png,train,349.8
958.png,train,0.0
959.png,val,85.8932
960.png,val,277.0422
961.png,val,273.6748
962.png,val,302.2295
963.png,val,349.7917
964.png,val,0.3513
965.png,train,61.9983
966.png,train,253.1983
967.png,train,249.7983
968.png,train,278.9983
969.png,train,327.9983
970.png,train,338.1983
971.png,train,80.3392
972.png,train,304.5392
973.png,train,294.7392
974.png,train,324.4392
975.png,train,327.5392
976.png,train,351.6392
977.png,train,54.2471
978.png,train,278.3192
979.png,train,268.5144
980.png,train,298.2271
981.png,train,301.3145
982.png,train,325.5271
983.png,val,69.6898
984.png,val,293.8898
985.png,val,284.0898
986.png,val,313.7898
987.png,val,316.8898
988.png,val,340.9898
989.png,val,67.6696
990.png,val,291.8696
991.png,val,282.0696
992.png,val,311.7696
993.png,val,314.8696
994.png,val,338.9696
995.png,train,53.931
996.png,train,278.0505
997.png,train,268.2584
998.png,train,297.9653
999.png,train,301.0776
1000.png,train,325.2435
1001.png,val,52.7451
1002.png,val,278.1971
1003.png,val,270.5582
1004.png,val,318.5936
1005.png,val,301.1015
1006.png,val,320.3091
1007.png,train,53.0
1008.png,train,277.6
1009.png,train,270.0
1010.png,train,318.5
1011.png,train,300.3
1012.png,train,319.8
1013.png,train,53.0
1014.png,train,277.6
1015.png,train,270.0
1016.png,train,318.5
1017.png,train,300.3
1018.png,train,319.8
1019.png,train,53.0
1020.png,train,277.6
1021.png,train,270.0
1022.png,train,318.5
1023.png,train,300.3
1024.png,train,319.8
1025.png,train,54.1182
1026.png,train,278.7182
1027.png,train,271.1182
1028.png,train,319.6182
1029.png,train,301.4182
1030.png,train,320.9182
1031.png,train,34.5469
1032.png,train,264.8469
1033.png,train,225.9469
1034.png,train,322.8469
1035.png,train,339.3469
1036.png,train,330.2469
1037.png,train,26.2807
1038.png,train,256.5807
1039.png,train,217.6807
1040.png,train,314.5807
1041.png,train,331.0807
1042.png,train,321.9807
1043.png,train,35.2783
1044.png,train,265.5783
1045.png,train,226.6783
1046.png,train,323.5783
1047.png,train,340.0783
1048.png,train,330.9783
1049.png,train,32.3558
1050.png,train,263.0606
1051.png,train,223.6978
1052.png,train,321.5994
1053.png,train,337.9149
1054.png,train,328.8794
1055.png,val,55.6577
1056.png,val,285.9577
1057.png,val,247.0577
1058.png,val,343.9577
1059.png,val,0.4577
1060.png,val,351.3577
1061.png,train,32.7
1062.png,train,293.4
1063.png,train,334.1
1064.png,train,2.3
1065.png,train,298.7
1066.png,train,224.0
1067.png,train,56.5569
1068.png,train,317.2569
1069.png,train,357.9569
1070.png,train,26.1569
1071.png,train,322.5569
1072.png,train,247.8569
1073.png,train,26.9469
1074.png,train,287.6469
1075.png,train,328.3469
1076.png,train,356.5469
1077.png,train,292.9469
1078.png,train,218.2469
1079.png,train,32.7
1080.png,train,293.4
1081.png,train,334.1
1082.png,train,2.3
1083.png,train,298.7
1084.png,train,224.0
1085.png,train,32.7
1086.png,train,293.4
1087.png,train,334.1
1088.png,train,2.3
1089.png,train,298.7
1090.png,train,224.0
1091.png,train,14.0759
1092.png,train,291.4488
1093.png,train,339.1064
1094.png,train,16.8298
1095.png,train,297.4438
1096.png,train,197.2036
1097.png,train,14.4
1098.png,train,290.4
1099.png,train,340.9
1100.png,train,16.6
1101.png,train,297.3
1102.png,train,197.0
1103.png,val,13.7337
1104.png,val,289.7337
1105.png,val,340.2337
1106.png,val,15.9337
1107.png,val,296.6337
1108.png,val,196.3337
1109.png,train,12.856
1110.png,train,288.7962
1111.png,train,339.3501
1112.png,train,15.6286
1113.png,train,295.5224
1114.png,train,195.9395
1115.png,val,14.5517
1116.png,val,286.8984
1117.png,val,340.5055
1118.png,val,16.4304
1119.png,val,294.0873
1120.png,val,196.8596
1121.png,train,72.6
1122.png,train,213.9
1123.png,train,123.1
1124.png,val,73.8916
1125.png,val,215.3402
1126.png,val,122.2691
1127.png,train,88.7872
1128.png,train,230.0872
1129.png,train,139.2872
1130.png,train,72.6
1131.png,train,213.9
1132.png,train,123.1
1133.png,train,76.7878
1134.png,train,218.0878
1135.png,train,127.2878
1136.png,train,77.9166
1137.png,train,116.1166
1138.png,train,132.6166
1139.png,train,69.7
1140.png,train,107.9
1141.png,train,124.4
1142.png,train,70.3795
1143.png,train,108.9079
1144.png,train,125.3429
1145.png,train,69.7
1146.png,train,107.9
1147.png,train,124.4
1148.png,train,79.682
1149.png,train,117.882
1150.png,train,134.382
1151.png,train,70.5
1152.png,train,27.5
1153.png,train,69.9
1154.png,train,52.5461
1155.png,train,11.0422
1156.png,train,51.5714
1157.png,train,70.5
1158.png,train,27.5
1159.png,train,69.9
1160.png,val,70.5
1161.png,val,27.5
1162.png,val,69.9
1163.png,train,73.0269
1164.png,train,30.0269
1165.png,train,72.4269
1166.png,train,42.8432
1167.png,train,100.8432
1168.png,train,40.4432
1169.png,train,312.2432
1170.png,train,72.5
1171.png,train,130.5
1172.png,train,70.1
1173.png,train,341.9
1174.png,train,93.0653
1175.png,train,151.0653
1176.png,train,90.6653
1177.png,train,2.4653
1178.png,train,73.2122
1179.png,train,130.3014
1180.png,train,71.3453
1181.png,train,341.1861
1182.png,train,72.1497
1183.png,train,130.6808
1184.png,train,69.7277
1185.png,train,340.4633
1186.png,train,82.6038
1187.png,train,261.1863
1188.png,train,7.1443
1189.png,train,149.8631
1190.png,train,78.4155
1191.png,train,256.5505
1192.png,train,4.8333
1193.png,train,148.191
1194.png,train,79.9586
1195.png,train,257.7589
1196.png,train,6.523
1197.png,train,149.8178
1198.png,val,80.8
1199.png,val,258.5
1200.png,val,5.6
1201.png,val,149.3
1202.png,train,80.8
1203.png,train,258.5
1204.png,train,5.6
1205.png,train,149.3
1206.png,train,159.7899
1207.png,train,336.5899
1208.png,train,255.2899
1209.png,train,120.8899
1210.png,train,165.374
1211.png,train,342.4046
1212.png,train,263.0113
1213.png,train,126.5928
1214.png,train,165.6
1215.png,train,342.4
1216.png,train,261.1
1217.png,train,126.7
1218.png,train,165.8493
1219.png,train,342.5317
1220.png,train,257.9221
1221.png,train,124.3784
1222.png,train,165.6
1223.png,train,342.4
1224.png,train,261.1
1225.png,train,126.7
1226.png,train,154.2143
1227.png,train,21.0143
1228.png,train,109.0143
1229.png,train,60.0143
1230.png,train,154.2048
1231.png,train,21.0048
1232.png,train,109.0048
1233.png,train,60.0048
1234.png,train,129.4
1235.png,train,356.2
1236.png,train,84.2
1237.png,train,35.2
1238.png,val,129.4
1239.png,val,356.2
1240.png,val,84.2
1241.png,val,35.2
1242.png,train,150.9151
1243.png,train,17.7151
1244.png,train,105.7151
1245.png,train,56.7151
1246.png,train,129.8
1247.png,train,40.8
1248.png,train,357.6
1249.png,train,84.0
1250.png,val,156.5477
1251.png,val,67.5477
1252.png,val,24.3477
1253.png,val,110.7477
1254.png,train,129.8
1255.png,train,40.8
1256.png,train,357.6
1257.png,train,84.0
1258.png,train,127.528
1259.png,train,38.528
1260.png,train,355.328
1261.png,train,81.728
1262.png,train,129.8
1263.png,train,40.8
1264.png,train,357.6
1265.png,train,84.0
1266.png,train,351.3
1267.png,train,53.9
1268.png,train,139.4
1269.png,train,32.8
1270.png,train,348.6309
1271.png,train,57.5164
1272.png,train,135.6247
1273.png,train,35.3137
1274.png,train,352.6251
1275.png,train,53.692
1276.png,train,139.0369
1277.png,train,33.6097
1278.png,train,351.3
1279.png,train,53.9
1280.png,train,139.4
1281.png,train,32.8
1282.png,val,330.8287
1283.png,val,33.4287
1284.png,val,118.9287
1285.png,val,12.3287
1286.png,train,352.6
1287.png,train,13.8847
1288.png,train,141.9305
1289.png,train,70.6609
1290.png,train,345.3191
1291.png,train,7.8191
1292.png,train,134.5191
1293.png,train,66.3191
1294.png,train,332.8929
1295.png,train,355.3929
1296.png,train,122.0929
1297.png,train,53.8929
1298.png,train,331.3789
1299.png,train,353.8789
1300.png,train,120.5789
1301.png,train,52.3789
1302.png,train,339.7692
1303.png,train,2.2692
1304.png,train,128.9692
1305.png,train,60.7692
1306.png,train,324.9892
1307.png,train,45.6892
1308.png,train,333.7892
1309.png,train,113.1892
1310.png,train,350.3035
1311.png,train,70.5923
